country_code,country_name,region
AT,Austria,Central Europe
BE,Belgium,Western Europe
BG,Bulgaria,Eastern Europe
CH,Switzerland,Central Europe
CZ,Czech Republic,Central Europe
DE,Germany,Central Europe
DK,Denmark,Northern Europe
EE,Estonia,Northern Europe
ES,Spain,Southern Europe
FI,Finland,Northern Europe
FR,France,Western Europe
GB,United Kingdom,Western Europe
GR,Greece,Southern Europe
HR,Croatia,Southern Europe
HU,Hungary,Eastern Europe
IT,Italy,Southern Europe
LT,Lithuania,Northern Europe
LV,Latvia,Northern Europe
NL,Netherlands,Western Europe
NO,Norway,Northern Europe
PL,Poland,Eastern Europe
PT,Portugal,Southern Europe
RO,Romania,Eastern Europe
SE,Sweden,Northern Europe
SI,Slovenia,Southern Europe
SK,Slovakia,Central Europe
